COD_CLIENTE;DES_CLIENTE;INDIRIZZO;CAP;CITY;PROVINCIA;TELEFONO;FAX;EMAIL;LINEA_CLIENTE;AREA;COD_AGENTE;AGENTE;GAMBE_FLG;NASO_FLG;INTESTINO_FLG;STOMACO_FLG;GOLA_FLG;COD_SUBENTRATO;COD_MICROBRICK;DESC_MICROBRICK;DESC_MICROAREE
10001;GANGUZZA;VIA VITTORIO EMANUELE 236;90039;VILLABATE PALERMO;PA;_091490066                ;_+390916143056;info@farmaciaganguzza.191.it;Build;P;P32;Pierludovico Marsala;0,000000;0,000000;0,000000;0,000000;0,000000;0;0841405;PALERMO 1405;PALERMO 14
10014;MERCADANTE;VIA CARBONE 48;90151;PARTANNA MONDELLO;PA;_091450064                ;_+39091450064;;Defend;P;P32;Pierludovico Marsala;0,000000;0,000000;0,000000;0,000000;0,000000;0;0841306;PALERMO 1306;PALERMO 13
10037;DI MINO;VIA SERRADIFALCO 191;90145;PALERMO;PA;_0916814016               ;_+390916813439;diminofer@hotmail.it;Build;P;P32;Pierludovico Marsala;1,000000;1,000000;1,000000;1,000000;1,000000;0;0841204;PALERMO 1204;PALERMO 12
10062;CICIRATA;VIA LAVAGGI 100;96011;AUGUSTA;SR;_0931994111               ;_+390931994111;;Build;P;P37;Teresa Lacagnina;1,000000;1,000000;1,000000;1,000000;1,000000;0;0910301;SIRACUSA 0301;SIRACUSA 03
10125;CARUSO;VIA VITTORIO EMANUELE 130;96012;AVOLA;SR;_0931831257               ;_+390931831257;claracaruso@gmail.com;Maintain;P;P37;Teresa Lacagnina;0,000000;0,000000;0,000000;0,000000;0,000000;0;0910103;SIRACUSA 0103;SIRACUSA 01
1013;COMUNALE N 1;VIALE RIMEMBRANZA 4;13100;VERCELLI;VC;_0161259202               ;_+390161215442;;Build;F;F22;Elena Borri;1,000000;1,000000;1,000000;1,000000;1,000000;0;0020103;VERCELLI 0103;VERCELLI 01
10138;RIZZO;CORSO UMBERTO 73;96010;SORTINO;SR;_0931952012               ;_+390931952012;;Maintain;P;P37;Teresa Lacagnina;1,000000;1,000000;1,000000;1,000000;1,000000;0;0910201;SIRACUSA 0201;SIRACUSA 02
1014;COMUNALE N 2;STRADA TORINO 1;13100;VERCELLI;VC;_0161259202               ;_+390161215442;;Build;F;F22;Elena Borri;1,000000;1,000000;1,000000;1,000000;1,000000;0;0020104;VERCELLI 0104;VERCELLI 01
10171;GUASTELLA;VIA SCIPIONE 81;96019;ROSOLINI;SR;_0931855600               ;_+390931855600;;Build;P;P37;Teresa Lacagnina;0,000000;0,000000;0,000000;0,000000;0,000000;0;0910102;SIRACUSA 0102;SIRACUSA 01
10176;BRUNETTO;VIA ARIOSTO 5;96014;FLORIDIA;SR;_0931941180               ;_+390931949777;farmaciabrunetto@gmail.com;Maintain;P;P37;Teresa Lacagnina;1,000000;1,000000;1,000000;1,000000;1,000000;0;0910202;SIRACUSA 0202;SIRACUSA 02
