COD_CLIENTE;DES_CLIENTE;INDIRIZZO;CAP;CITY;PROVINCIA;TELEFONO;FAX;EMAIL;LINEA_CLIENTE;AREA;COD_AGENTE;AGENTE;GAMBE_FLG;NASO_FLG;INTESTINO_FLG;STOMACO_FLG;GOLA_FLG;COD_SUBENTRATO;COD_MICROBRICK;DESC_MICROBRICK;DESC_MICROAREE
40393;S.ANTONIO S.A.S.;SETINA DI LERIARA 115;04015;CERIARA DI PRIVERNO;LT;_0773924275               ;_+390773900254;;Defend;M;M05;Marco Percili;1,000000;1,000000;0,000000;1,000000;1,000000;0;0600403;LATINA 0403;LATINA 04
40399;RE S.A.S.;P.LE ALCIDE DE GASPERI 32;90146;PALERMO;PA;_0916703226               ;_+39091528072;farmaciadegasperi@tin.it;Build;P;P32;Pierludovico Marsala;1,000000;1,000000;1,000000;1,000000;1,000000;32121;0841305;PALERMO 1305;PALERMO 13
40400;FUSETTI S.N.C.;VIA PADOVA 12/H;35030;TENCAROLA DI SELVAZZANO;PD;_049624557                ;_+390498685729;farmaciafusetti@libero.it;Build;H;H32;Roberta Cammisa;1,000000;0,000000;1,000000;0,000000;1,000000;14820;0280305;PADOVA 0305;PADOVA 03
40403;SANTO SPIRITO S.N.C.;VIALE MONZA 325;20126;MILANO;MI;_022573400                ;_+39022573400;farmaciasspirito@hotmail.com;Build;F;F33;Luigi Loffredo;0,000000;0,000000;0,000000;0,000000;0,000000;2927;0152903;MILANO 2903;MILANO 29
40415;COMUNALE BALCONI S.R.L.;VIA BRENNERO 71/B;37026;BALCONI DI PESANTINA;VR;_*ND;_+390456753177;;Build;H;H33;Isacco Treccani;0,000000;0,000000;0,000000;0,000000;0,000000;0;0230303;VERONA 0303;VERONA 03
40416;S.CARLO;VIA VITTORIO EMANUELE 25;80144;NAPOLI SECONDIGLIANO;NA;_0817541124               ;_+390817540363;dottnicadangelo@hotmail.it;Build;P;P04;Antonio Pisani;0,000000;0,000000;0,000000;0,000000;0,000000;34227;0702303;NAPOLI 2303;NAPOLI 23
40424;CATTANEO;VIALE S.GIMIGNANO 13;20146;MILANO;MI;_02416227                 ;_+390248371955;;Build;F;F33;Luigi Loffredo;1,000000;1,000000;1,000000;1,000000;1,000000;2132;0153603;MILANO 3603;MILANO 36
40427;MANFREDA;VIA L. AMBROSI;70032;BITONTO;BA;_0803758236               ;_+390803757410;;Maintain;P;P09;Pierluca Lubello Lincenti;1,000000;0,000000;1,000000;1,000000;1,000000;0;0740801;BARI 0801;BARI 08
40434;QUISISANA;VIA LE BOTTEGHE 12;80073;CAPRI;NA;_0818370185               ;_+390818375802;;Observe;P;P04;Antonio Pisani;0,000000;0,000000;0,000000;0,000000;0,000000;7825;0701708;NAPOLI 1708;NAPOLI 17
40435;S.GIORGIO;VIA TAGLIABUE 123;20033;DESIO;MI;_0362303851               ;_+390362300304;massimilianoamati@libero.it;Observe;F;F23;Maurizio Restivo;1,000000;1,000000;0,000000;0,000000;0,000000;26475;0150702;MONZA BRIANZA 0702;MONZA BRIANZA 07
40437;PIAZZA BOLOGNA S.A.S.;P.ZZA BOLOGNA 19/20;00162;ROMA;RM;_0644243875               ;_+390644237109;;Defend;M;M03;Manuelo Maria Montemaggiori;1,000000;1,000000;1,000000;1,000000;1,000000;16752;0590304;ROMA 0304;ROMA 03
40441;DE STEFFANI S.N.C.;P.ZZA MATTEOTTI 5;37053;CEREA;VR;_044280072                ;_+390442325686;farmacia.desteffani@libero.it;Build;H;H33;Isacco Treccani;0,000000;0,000000;0,000000;0,000000;0,000000;33719;0230505;VERONA 0505;VERONA 05
40445;PINETA SACCHETTI S.N.C.;VIA PINETA SACCHETTI 464;00168;ROMA;RM;_0635506025               ;_+390635506025;farmaciapinetasacchetti@virgilio.it;Observe;M;M04;Valerio Medici;0,000000;0,000000;0,000000;0,000000;0,000000;30778;0591905;ROMA 1905;ROMA 19
40449;COPPOLA S.A.S.;VIA NUOVA 11;81030;CASTELVOLTURNO;CE;_0823508912               ;_+390811761710;g.passarelli6525@alice.it;Defend;P;P07;Vincenzo Rongo;1,000000;1,000000;1,000000;1,000000;1,000000;25283;0680501;CASERTA 0501;CASERTA 05
40451;PICCALUGA;VIA GARIBALDI 25;20033;DESIO;MI;_0362621660               ;_+390362331254;piccaluga@farmaciapiccaluga.191.it;Build;F;F23;Maurizio Restivo;1,000000;1,000000;1,000000;1,000000;1,000000;2413;0150702;MONZA BRIANZA 0702;MONZA BRIANZA 07
