COD_CLIENTE;DES_CLIENTE;INDIRIZZO;CAP;CITY;PROVINCIA;TELEFONO;FAX;EMAIL;LINEA_CLIENTE;AREA;COD_AGENTE;AGENTE;GAMBE_FLG;NASO_FLG;INTESTINO_FLG;STOMACO_FLG;GOLA_FLG;COD_SUBENTRATO;COD_MICROBRICK;DESC_MICROBRICK;DESC_MICROAREE
27673;CUCCHIARONI;VIA MATTEOTTI 8;00015;MONTEROTONDO;RM;_0690626021               ;_+390690625577;;Build;M;M05;Marco Percili;0,000000;0,000000;0,000000;0,000000;0,000000;0;0592402;ROMA 2402;ROMA 24
27692;ALL'ALBARO;PIAZZA BUCCARI 10;37033;MONTORIO;VR;_045557037                ;_+39045557037;farmacia.allalbaro@alice.it;Build;H;H33;Isacco Treccani;0,000000;0,000000;0,000000;0,000000;0,000000;0;0230205;VERONA 0205;VERONA 02
27708;VALENTINETTI;PIAZZA DELLA REPUBBLICA 5;66026;ORTONA;CH;_085 9063498              ;_+390859067853;angelo.valentinetti@tiscali.it;Build;P;P06;Elisabetta Di Battista;0,000000;0,000000;0,000000;0,000000;0,000000;0;0650301;CHIETI 0301;CHIETI 03
27751;D'AMICIS;VIA LEOPOLDO RUSPOLI 57;00149;ROMA;RM;_0655265858               ;_+390698871495;farmaciadamicis@alice.it;Build;M;M04;Valerio Medici;1,000000;1,000000;0,000000;1,000000;1,000000;0;0591504;ROMA 1504;ROMA 15
27758;BRUNORI DINO S.A.S.;VIALE B.CROCE 418;66013;CHIETI SCALO;CH;_0871560715               ;_+390871561743;stefano@farmaciabrunori.it;Build;P;P06;Elisabetta Di Battista;0,000000;0,000000;0,000000;0,000000;0,000000;0;0650102;CHIETI 0102;CHIETI 01
27764;AZ.SPEC. SERV.PUBBL. LOCALI;VIA SOLFERINO 13;56022;CASTELFRANCO DI SOTTO;PI;_0571489098               ;_+390571489098;;Build;M;M35;Roberto Saggini;1,000000;1,000000;1,000000;1,000000;1,000000;0;0470404;PISA 0404;PISA 04
27774;DEL VIVO;VIA DEL COMMERCIO 1/1A/3/7;53036;POGGIBONSI;SI;_0577934828               ;_+390577934828;info@farmaciadelvivo.it;Build;M;M32;Paolo Bongini;0,000000;0,000000;0,000000;0,000000;0,000000;0;0490101;SIENA 0101;SIENA 01
27783;DE MARIA;VIA MONTENERO 26;28044;ARONA;NO;_0322240219               ;_+390322240219;farm.demaria@gmail.com;Build;F;F22;Elena Borri;0,000000;0,000000;0,000000;0,000000;0,000000;0;0030401;NOVARA 0401;NOVARA 04
27808;PERONI DR GAETANO & C. S.N.C.;VIA CASTIGLIONI 6;21040;CARNAGO;VA;_0331993158               ;_+390331992964;farmacia@farmaciaperoni.net;Build;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0120307;VARESE 0307;VARESE 03
27809;INTERNAZIONALE;VIA VOLTA 2;21100;VARESE;VA;_0332283482               ;_+390332830713;farmaciainter@libero.it;Defend;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0120301;VARESE 0301;VARESE 03
